id,Jour_1,Jour_2,Jour_3,Jour_4,Jour_5,Jour_6,Jour_7,Jour_8,Jour_9,Jour_10,Jour_11,Jour_12,Jour_13,Jour_14,Jour_15,Jour_16,Jour_17,Jour_18,Jour_19,Jour_20,Total_Reel
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,1,1,4,5,6,6,7,7,8,8,9,9,9,9,9
4,8,52,103,147,173,202,218,231,237,241,246,251,254,257,259,260,260,260,260,260,260
5,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,5,7,7,7
6,0,0,0,1,3,4,6,9,12,15,18,19,21,24,25,25,25,25,25,26,26
7,37,143,244,312,353,389,403,415,422,433,437,440,443,444,447,447,447,447,447,447,447
8,0,0,3,11,18,22,28,42,46,50,55,57,61,62,64,66,66,66,67,67,67
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,4,12,21,27,33,37,42,43,44,47,47,50,50,50,50,51,53,53,53
19,37,117,190,246,289,310,332,351,361,371,372,373,379,381,383,385,385,387,387,387,387
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
